INFO 2025-07-16 16:17:45,586 autoreload 73144 8797069056 Watching for file changes with StatReloader
WARNING 2025-07-16 16:31:15,650 log 73144 6127513600 Bad Request: /api/auth/login/
WARNING 2025-07-16 16:31:15,651 basehttp 73144 6127513600 "POST /api/auth/login/ HTTP/1.1" 400 37
INFO 2025-07-16 16:31:39,631 basehttp 73144 6144339968 "OPTIONS /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 0
WARNING 2025-07-16 16:31:39,645 log 73144 6144339968 Unauthorized: /api/weather/current/
WARNING 2025-07-16 16:31:39,645 basehttp 73144 6144339968 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
INFO 2025-07-16 16:31:52,301 basehttp 73144 6127513600 "POST /api/auth/login/ HTTP/1.1" 200 870
WARNING 2025-07-16 16:32:33,566 log 73144 6127513600 Unauthorized: /api/places/search/
WARNING 2025-07-16 16:32:33,566 basehttp 73144 6127513600 "GET /api/places/search/?q=restaurants%20in%20san%20francisco HTTP/1.1" 401 172
WARNING 2025-07-16 16:32:46,682 log 73144 6144339968 Unauthorized: /api/weather/current/
WARNING 2025-07-16 16:32:46,683 basehttp 73144 6144339968 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
INFO 2025-07-16 16:32:46,701 basehttp 73144 6161166336 "OPTIONS /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 0
WARNING 2025-07-16 16:32:46,717 log 73144 6161166336 Unauthorized: /api/recommendations/
WARNING 2025-07-16 16:32:46,724 basehttp 73144 6161166336 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
INFO 2025-07-16 16:33:32,751 basehttp 73144 6144339968 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-07-16 16:33:58,040 basehttp 73144 6144339968 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-07-16 16:33:58,072 basehttp 73144 6144339968 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4170
INFO 2025-07-16 16:33:58,144 basehttp 73144 6161166336 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-07-16 16:33:58,145 basehttp 73144 6194819072 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-07-16 16:33:58,145 basehttp 73144 6228471808 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-07-16 16:33:58,147 basehttp 73144 6177992704 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-07-16 16:33:58,147 basehttp 73144 6144339968 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-07-16 16:33:58,148 basehttp 73144 6211645440 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-07-16 16:33:58,151 basehttp 73144 6211645440 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2025-07-16 16:33:58,247 log 73144 6211645440 Not Found: /favicon.ico
WARNING 2025-07-16 16:33:58,248 basehttp 73144 6211645440 "GET /favicon.ico HTTP/1.1" 404 3139
INFO 2025-07-16 16:34:19,084 basehttp 73144 6144339968 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-07-16 16:34:19,112 basehttp 73144 6144339968 "GET /admin/ HTTP/1.1" 200 8849
INFO 2025-07-16 16:34:19,134 basehttp 73144 6144339968 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-07-16 16:34:19,148 basehttp 73144 6161166336 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-07-16 16:34:19,148 basehttp 73144 6144339968 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-07-16 16:34:40,777 basehttp 73144 6144339968 "GET /admin/authentication/user/add/ HTTP/1.1" 200 14878
INFO 2025-07-16 16:34:40,823 basehttp 73144 6144339968 "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
INFO 2025-07-16 16:34:40,824 basehttp 73144 6194819072 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-07-16 16:34:40,833 basehttp 73144 6211645440 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-07-16 16:34:40,834 basehttp 73144 6228471808 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-07-16 16:34:40,836 basehttp 73144 6144339968 "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
INFO 2025-07-16 16:34:40,836 basehttp 73144 6211645440 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11991
INFO 2025-07-16 16:34:40,836 basehttp 73144 6194819072 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-07-16 16:34:40,839 basehttp 73144 6228471808 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-07-16 16:34:40,842 basehttp 73144 6194819072 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-07-16 16:34:40,843 basehttp 73144 6144339968 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-07-16 16:34:40,844 basehttp 73144 6161166336 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-16 16:34:40,845 basehttp 73144 6177992704 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-07-16 16:34:40,847 basehttp 73144 6211645440 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-07-16 16:34:40,850 basehttp 73144 6211645440 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-07-16 16:34:40,855 basehttp 73144 6211645440 "GET /static/admin/js/unusable_password_field.js HTTP/1.1" 200 1480
INFO 2025-07-16 16:35:40,260 basehttp 73144 6144339968 "POST /admin/authentication/user/add/ HTTP/1.1" 200 15177
INFO 2025-07-16 16:35:40,310 basehttp 73144 6144339968 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-16 16:36:05,246 basehttp 73144 6144339968 "POST /admin/authentication/user/add/ HTTP/1.1" 302 0
INFO 2025-07-16 16:36:05,304 basehttp 73144 6144339968 "GET /admin/authentication/user/2/change/ HTTP/1.1" 200 30615
INFO 2025-07-16 16:36:05,371 basehttp 73144 6161166336 "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2025-07-16 16:36:05,373 basehttp 73144 6211645440 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15845
INFO 2025-07-16 16:36:05,373 basehttp 73144 6194819072 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
